Rang,Nom Agence,Quartier/Commune,Telephone,Site Web,Type,Tier ICP,Specialite Probable,Score ICP,Raison du Score,Action Recommandee
32,Espaces Atypiques Toulouse,Carmes / Capitole / Chalets,06 71 39 13 83,espaces-atypiques.com/toulouse,Franchise premium,1,Biens atypiques et architecturaux,74,"Biens atypiques = renovation = EGB. Mobile direct.",Appel mobile + email
33,Sothebys Midi-Pyrenees,Toulouse centre / region,via site,midipyrenees-sothebysrealty.com,Franchise premium,1,Immobilier ultra-prestige,73,"Ultra-premium. Gros budgets. Approche longue mais haut potentiel.",LinkedIn directeur + invitation evenement
34,Stephane Plaza Toulouse Centre,Carmes / Cote Pavee,via site,toulousecentre.stephaneplazaimmobilier.com,Franchise,1,Immobilier centre Toulouse,68,"Franchise connue mais geree localement. Volume important.",LinkedIn gerant local
35,Une Villa et des Vignes,Capitole / metropole,05 34 26 10 10,unevillaetdesvignes.fr,Franchise,1,Maisons et proprietes,70,"'Villa' dans le nom = focus maisons. Pertinent pour EGB.",Email + appel
36,Cabinet Bedin Balma,Balma,05 32 26 15 15,cabinet-bedin.com,Reseau regional,1,Immobilier general Balma,67,"Reseau regional (pas national). Decision locale possible.",LinkedIn directeur agence
37,Cabinet Bedin Saint-Orens,Saint-Orens,05 32 26 39 39,cabinet-bedin.com,Reseau regional,2,Immobilier general Saint-Orens,65,"Meme reseau que ci-dessus. Contacter le directeur regional.",Via contact Bedin Balma
38,Nestenn Castanet-Tolosan,Castanet-Tolosan,05 61 24 75 36,nestenn.com (castanet),Franchise,1,Immobilier Castanet,66,"Franchise mais gerant local autonome. Meme commune EGB.",Email gerant local
39,Laforet Balma,Balma,05 61 81 88 18,laforet.com/balma,Franchise,1,Immobilier Balma,64,"Franchise connue. Volume maisons Balma important.",Email directeur agence
40,Laforet Saint-Orens,Saint-Orens,05 82 95 84 51,laforet.com/saint-orens,Franchise,2,Immobilier Saint-Orens,62,"Franchise locale. Zone premium familles.",Email directeur agence
41,HUMAN Immobilier Castanet,Castanet-Tolosan,05 34 66 11 11,human-immobilier.fr/castanet,Franchise,1,Immobilier Castanet,63,"Franchise locale. Volume Castanet.",Email agence
42,HUMAN Immobilier Balma,Balma,05 62 80 02 01,human-immobilier.fr/balma,Franchise,1,Immobilier Balma,61,"Idem HUMAN reseau. Contact local.",Email agence
43,HUMAN Immobilier Ramonville,Ramonville,05 61 75 00 60,human-immobilier.fr/ramonville,Franchise,2,Immobilier Ramonville,60,"HUMAN reseau local.",Email agence
44,HUMAN Immobilier Saint-Orens,Saint-Orens,05 34 31 50 50,human-immobilier.fr/st-orens,Franchise,2,Immobilier Saint-Orens,59,"HUMAN reseau.",Email agence
45,HUMAN Immobilier Blagnac,Blagnac,via site,human-immobilier.fr/blagnac,Franchise,2,Immobilier Blagnac,58,"HUMAN reseau.",Email agence
46,Guy Hoquet Balma,Balma,05 62 57 04 07,balma.guy-hoquet.com,Franchise,2,Immobilier general Balma,57,"Franchise nationale. Decision centralisee mais gerant local.",Email gerant
47,Guy Hoquet Cote Pavee,Cote Pavee Toulouse,via site,toulouse-cote-pavee.guy-hoquet.com,Franchise,1,Immobilier Cote Pavee,60,"Guy Hoquet zone premium. Gerant local a identifier.",LinkedIn gerant
48,Century 21 Cote Pavee,Cote Pavee Toulouse,via site,century21-cote-pavee-toulouse.com,Franchise,1,Immobilier Cote Pavee,58,"Franchise zone premium. Process plus lourd.",Email agence
49,Orpi BO Immobilier,Balma,05 62 80 08 00,orpi.com/boimmobilier,Franchise,2,Immobilier general Balma,56,"Franchise nationale classique.",Email standard
50,Orpi Les Carmes,Les Carmes Toulouse,via site,orpi.com/orpilescarmes,Franchise,1,Immobilier Carmes,57,"Franchise mais zone renovation premium.",Email standard
51,L Adresse BH Immobilier,Castanet-Tolosan,05 34 43 42 03,ladresse.com,Franchise,1,Immobilier Castanet,60,"Franchise mais locale Castanet.",Email gerant
52,Square Habitat Saint-Orens,Saint-Orens,05 61 46 46 45,squarehabitat.fr,Franchise (Credit Agricole),2,Immobilier Saint-Orens,55,"Adosse Credit Agricole. Process bancaire.",Email standard
53,Orpi Colombier Immobilier,Ramonville,05 32 09 97 01,orpi.com/colombier.immobilier,Franchise,2,Immobilier Ramonville,54,"Franchise standard.",Email standard
54,SGL Immobilier,Castanet/Toulouse,05 31 61 70 60,sgl-immo.com,Franchise,2,Immobilier general,53,"Franchise. Coverage Castanet mais base Toulouse.",Email standard
55,Immo de France Balma,Balma,05 61 00 60 80,idftoulouse.fr,Franchise,2,Immobilier Balma,52,"Franchise nationale.",Email standard
56,Laforet Colomiers,Colomiers,via site,laforet.com/colomiers,Franchise,2,Immobilier Colomiers,51,"Franchise. Zone Airbus.",Email directeur
57,Century 21 Oustal,Colomiers,via site,oustalimmo.fr,Franchise,2,Immobilier Colomiers,50,"Franchise.",Email standard
58,Guy Hoquet Tournefeuille,Tournefeuille,via site,tournefeuille.guy-hoquet.com,Franchise,2,Immobilier Tournefeuille,49,"Franchise.",Email standard
59,Nestenn Portet-sur-Garonne,Portet-sur-Garonne,05 61 72 06 49,nestenn.com (portet),Franchise,2,Immobilier Portet,48,"Franchise zone secondaire.",Email gerant
60,Nestenn Sud Ouest Toulouse,Plaisance-du-Touch,05 61 51 06 58,nestenn.com,Franchise,2,Immobilier Plaisance,47,"Franchise zone secondaire.",Email gerant
61,Portet Immobilier,Portet-sur-Garonne,--,immobiliereplus.fr,Independant,2,Immobilier Portet,46,"Independant mais zone secondaire.",Email via site
62,YS Immo,Saint-Orens,--,Expertimo network,Mandataire,2,Immobilier Saint-Orens,40,"Mandataire = moins de poids de recommandation.",Basse priorite
63,Immobilier du Palais (doublon potentiel Habitat Communication),Carmes,05 61 53 70 29,immobilier-palais-toulouse.fr,Independant,1,Centre historique,78,"Meme telephone que Habitat Communication - verifier si meme structure.",A verifier avant contact
